Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
Todd Pope,151,8.52,Yes,Yes,Yes,Yes,Yes,Yes,24,Computer Science,20.01
Sandra Brown,24,1.23,Yes,No,No,Yes,No,Yes,18,Computer Science,10.97
Mrs. Amanda Singleton,333,9.85,No,Yes,Yes,No,No,No,25,Mechanical Engineering,7.51
Matthew Alvarado,132,1.96,No,No,Yes,No,No,No,20,Computer Science,4.96
Christine Smith,198,9.73,Yes,Yes,Yes,Yes,Yes,No,21,Electrical Engineering,46.3
Dustin Hernandez,32,0.56,No,Yes,Yes,No,Yes,Yes,23,Mechanical Engineering,4.54
Ruben Thompson,130,6.01,Yes,No,No,No,Yes,No,24,Mechanical Engineering,36.11
Jennifer Kane,209,4.04,No,No,No,No,Yes,No,23,Mechanical Engineering,3.86
Elizabeth Watkins,100,1.7,No,Yes,No,No,No,No,24,Civil Engineering,6.61
Bryce Price,369,1.8,No,No,Yes,No,No,No,24,Mechanical Engineering,2.78
Hector Wagner,205,4.35,No,No,No,No,No,Yes,19,Electrical Engineering,3.17
Joyce Fisher,179,5.52,Yes,Yes,No,No,No,No,18,Mechanical Engineering,24.72
Caroline Burgess,30,6.43,Yes,Yes,Yes,No,No,Yes,21,Civil Engineering,23.32
John Nelson,219,3.16,No,No,Yes,Yes,No,Yes,20,Computer Science,3.59
Anthony Swanson,292,2.48,Yes,Yes,Yes,Yes,No,No,19,Computer Science,10.67
Patrick Hayes,121,5.69,Yes,Yes,Yes,No,No,Yes,23,Electrical Engineering,39.62
Kathleen Downs,387,5.54,No,Yes,Yes,No,Yes,No,24,Civil Engineering,45.13
Kim Stein,128,1.16,Yes,Yes,Yes,Yes,No,No,20,Mechanical Engineering,11.33
Anthony Adams,204,0.53,No,No,Yes,No,Yes,Yes,18,Civil Engineering,3.63
Luis Thomas,314,5.45,Yes,No,Yes,No,Yes,Yes,23,Electrical Engineering,31.24
Jonathan Russell,203,7.56,Yes,Yes,Yes,Yes,Yes,No,20,Electrical Engineering,37.4
James Ortiz,479,1.46,No,No,Yes,No,No,Yes,24,Computer Science,3.25
Rebecca House,255,5.63,No,Yes,Yes,No,No,Yes,18,Mechanical Engineering,34.89
Thomas Jones,239,2.03,No,Yes,Yes,No,No,Yes,22,Electrical Engineering,6.7
Dr. Anthony Pierce Jr.,207,8.12,Yes,No,No,Yes,Yes,Yes,25,Electrical Engineering,52.87
Mark Williams,262,9.23,No,Yes,No,No,No,Yes,25,Electrical Engineering,29.05
Douglas Martin,448,8.87,Yes,No,No,Yes,Yes,Yes,19,Computer Science,39.52
